"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 25 11:39:13 GMT 2025","Tue Mar 25 11:39:13 GMT 2025","3","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus_Active","testGetUserStatus_Active()",""
"skipped","Tue Mar 25 11:39:11 GMT 2025","Tue Mar 25 11:39:11 GMT 2025","0","","org.itmo.testing.lab2.integration.IntegrationRobustTest","","org.itmo.testing.lab2.integration.IntegrationRobustTest","testGetTotalActivity","Тест получения общего времени активности (нет пользователя)",""
"passed","Tue Mar 25 11:39:11 GMT 2025","Tue Mar 25 11:39:11 GMT 2025","14","","org.itmo.testing.lab2.integration.IntegrationRobustTest","","org.itmo.testing.lab2.integration.IntegrationRobustTest","testUserRegistration","Тест регистрации пользователя (пустой идентификатор)",""
"passed","Tue Mar 25 11:39:09 GMT 2025","Tue Mar 25 11:39:11 GMT 2025","1737","","org.itmo.testing.lab2.integration.IntegrationRobustTest","","org.itmo.testing.lab2.integration.IntegrationRobustTest","testGetMonthlyActivityNoIdParameter","Тест получения активности пользователей за месяц (нет параметра)",""
"skipped","Tue Mar 25 11:39:11 GMT 2025","Tue Mar 25 11:39:11 GMT 2025","0","","org.itmo.testing.lab2.integration.IntegrationRobustTest","","org.itmo.testing.lab2.integration.IntegrationRobustTest","testDoubleRegister","Тест регистрации пользователя (повторная регистрация)",""
"passed","Tue Mar 25 11:39:11 GMT 2025","Tue Mar 25 11:39:11 GMT 2025","18","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSession","Тест записи сессии",""
"passed","Tue Mar 25 11:39:11 GMT 2025","Tue Mar 25 11:39:11 GMT 2025","53","","org.itmo.testing.lab2.integration.IntegrationRobustTest","","org.itmo.testing.lab2.integration.IntegrationRobustTest","testRecordSessionBadDate","Тест записи сессии (пустое время выхода)",""
"passed","Tue Mar 25 11:39:11 GMT 2025","Tue Mar 25 11:39:11 GMT 2025","16","","org.itmo.testing.lab2.integration.IntegrationRobustTest","","org.itmo.testing.lab2.integration.IntegrationRobustTest","testGetMonthlyActivityNoUser","Тест получения активности пользователей за месяц (нет параметра)",""
"passed","Tue Mar 25 11:39:11 GMT 2025","Tue Mar 25 11:39:11 GMT 2025","17","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testUserRegistration","Тест регистрации пользователя",""
"passed","Tue Mar 25 11:39:11 GMT 2025","Tue Mar 25 11:39:11 GMT 2025","16","","org.itmo.testing.lab2.integration.IntegrationRobustTest","","org.itmo.testing.lab2.integration.IntegrationRobustTest","testRecordSessionMissingDateFrom","Тест записи сессии (пустое время входа)",""
"passed","Tue Mar 25 11:39:11 GMT 2025","Tue Mar 25 11:39:11 GMT 2025","17","","org.itmo.testing.lab2.integration.IntegrationRobustTest","","org.itmo.testing.lab2.integration.IntegrationRobustTest","testUserRegistrationNameMissing","Тест регистрации пользователя (пустое имя)",""
"passed","Tue Mar 25 11:39:13 GMT 2025","Tue Mar 25 11:39:13 GMT 2025","4","","org.itmo.testing.lab2.service.ServiceMockTest","","org.itmo.testing.lab2.service.ServiceMockTest","getUserLastSessionDateTestMultipleSessions","getUserLastSessionDateTestMultipleSessions()",""
"passed","Tue Mar 25 11:39:11 GMT 2025","Tue Mar 25 11:39:11 GMT 2025","15","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetTotalActivity","Тест получения общего времени активности",""
"skipped","Tue Mar 25 11:39:13 GMT 2025","Tue Mar 25 11:39:13 GMT 2025","0","","org.itmo.testing.lab2.service.ServiceMockTest","","org.itmo.testing.lab2.service.ServiceMockTest","getUserLastSessionDateTestEmptyList","getUserLastSessionDateTestEmptyList()",""
"passed","Tue Mar 25 11:39:11 GMT 2025","Tue Mar 25 11:39:11 GMT 2025","16","","org.itmo.testing.lab2.integration.IntegrationRobustTest","","org.itmo.testing.lab2.integration.IntegrationRobustTest","testRecordSessionMissingId","Тест записи сессии (пустой идентификатор)",""
"passed","Tue Mar 25 11:39:13 GMT 2025","Tue Mar 25 11:39:13 GMT 2025","5","","org.itmo.testing.lab2.service.ServiceMockTest","","org.itmo.testing.lab2.service.ServiceMockTest","testGetUserStatusInactive","testGetUserStatusInactive()",""
"passed","Tue Mar 25 11:39:11 GMT 2025","Tue Mar 25 11:39:11 GMT 2025","19","","org.itmo.testing.lab2.integration.IntegrationRobustTest","","org.itmo.testing.lab2.integration.IntegrationRobustTest","testGetMonthlyActivityBadDate","Тест получения активности пользователей за месяц (неверный формат даты)",""
"passed","Tue Mar 25 11:39:13 GMT 2025","Tue Mar 25 11:39:13 GMT 2025","3","","org.itmo.testing.lab2.service.ServiceMockTest","","org.itmo.testing.lab2.service.ServiceMockTest","testGetUserStatusHighlyActive","testGetUserStatusHighlyActive()",""
"passed","Tue Mar 25 11:39:11 GMT 2025","Tue Mar 25 11:39:11 GMT 2025","18","","org.itmo.testing.lab2.integration.IntegrationRobustTest","","org.itmo.testing.lab2.integration.IntegrationRobustTest","testRecordSession","Тест записи сессии (пустое время выхода)",""
"passed","Tue Mar 25 11:39:11 GMT 2025","Tue Mar 25 11:39:13 GMT 2025","1980","","org.itmo.testing.lab2.service.ServiceMockTest","","org.itmo.testing.lab2.service.ServiceMockTest","getUserLastSessionDateTestSingleSessions","getUserLastSessionDateTestSingleSessions()",""
"passed","Tue Mar 25 11:39:11 GMT 2025","Tue Mar 25 11:39:11 GMT 2025","13","","org.itmo.testing.lab2.integration.IntegrationRobustTest","","org.itmo.testing.lab2.integration.IntegrationRobustTest","testGetMonthlyActivityNoDateParameter","Тест получения неактивных пользователей (нет параметра)",""
